Name,"Crop Type","Days to Maturity","Days to Transplant","Direct Sow","Succession Interval",Description,"Image File"
"Cardoon                        spear production.",asparagus,730,21,No,21,"Variety code: VOG006",
Portlim,asparagus,730,21,No,21,,
"F1 Gijnlim                       October to November, or mid",asparagus,730,21,No,21,"Variety code: VPL05",
"See seed product for description",asparagus,730,21,No,21,,
"November to December",asparagus,730,21,No,21,,
"Early maturing",asparagus,715,21,No,21,,
"F1 Mondeo                                                              plants start bearing fruit.",asparagus,730,21,No,21,"Variety code: VPL07",
"Vigorous growth with a high level",asparagus,730,21,No,21,,
"F1 Guelph Equinox",asparagus,730,21,No,21,"Variety code: VPL09",
"A white base with purple stripes",asparagus,730,21,No,21,,
"Connover’s Colossal               protection then performs as",asparagus,730,21,No,21,"Variety code: VAS10",
"Recommended for green spear",asparagus,730,21,No,21,,
"Black Beauty",asparagus,730,21,No,21,"Variety code: VAU20",
"F1 Burgundine                                        YP Poly Glas",asparagus,730,21,No,21,"Variety code: VPL16",
"A hybrid purple variety that          variety",asparagus,730,21,No,21,,
"F1 Millennium                         25 cr.     50 cr.    100 cr.         100g       250g       500g          the mightiest, meatiest variety",asparagus,730,21,No,21,"Variety code: VAS24",
"Green Knight",asparagus,730,21,No,21,,
Bveg,asparagus,730,21,No,21,,
Approx,asparagus,730,21,No,21,,
"F1 Green Knight                                               (1300 for small bean varieties",asparagus,730,21,No,21,"Variety code: VAU40",
"The Sutton              YP",asparagus,730,21,No,21,"Variety code: VBB60",
"F1 Pinstripe                      jade green fruits, which are                                                                                                            Dwarf variety, growing to 45cm in",asparagus,730,21,No,21,"Variety code: VAU50",
"February to March unless",asparagus,730,21,No,21,,
Aquadulce,asparagus,730,21,No,21,,
"Probably the quickest maturing spring",asparagus,715,21,No,21,,
"Can also be used for overwintered",asparagus,750,21,No,21,,
"F1 White Knight",asparagus,730,21,No,21,"Variety code: VAU42",
"Attractive shimmery white fruits",asparagus,730,21,No,21,,
"F1 Ivory                          that are typically 17cm in length.",asparagus,730,21,No,21,"Variety code: VAU55",
"YP Poly Glas         The delicious flavour makes",asparagus,730,21,No,21,,
"A compact variety that produces",asparagus,730,21,No,21,,
"Aquadulce                 YP",asparagus,730,21,No,21,"Variety code: VBB10",
"Broad Beans",asparagus,730,21,No,21,,
"Autumn             Main             Late",asparagus,750,21,No,21,,
"F1 Farmers Long                    Variety                                                                         sowing            sowing           sowing           Bean colour           Beans per pod            Plant height",asparagus,750,21,No,21,"Variety code: VAU30",
"Masterpiece Green                 required. 2000 seeds per kilo.                                                 21/2kg       5kg      10kg",asparagus,730,21,No,21,"Variety code: VBB40",
"Red Epicure                                                                                                    for plant sales. Tolerant of BCMV",asparagus,730,21,No,21,"Variety code: VBB14",
"Cropping is from mid-June",asparagus,730,21,No,21,,
Algarve,asparagus,730,21,No,21,"Variety code: VCF15",
"Flat podded Hunter type",asparagus,730,21,No,21,,
Limka,asparagus,730,21,No,21,,
Goldfield,asparagus,730,21,No,21,"Variety code: VCF50",
"High quality variety with flat yellow   VCF",asparagus,730,21,No,21,,
Stringless,asparagus,730,21,No,21,,
"Borlotto Lingua di                7-9mm, the variety is black-seeded",asparagus,730,21,No,21,"Variety code: VCF80",
"Duet                             VOG075 Limka                                    Fuoco (not shown)             Resistant to BCMV race 1.",asparagus,730,21,No,21,"Variety code: VBB62",
Sunshine,asparagus,730,21,No,21,,
"A prolific variety producing a",asparagus,730,21,No,21,,
"Scorpio                                                                                                        good yield of attractive pale",asparagus,730,21,No,21,"Variety code: VBB70",
"B Bean",asparagus,730,21,No,21,,
"Martini                             Soliman",asparagus,730,21,No,21,,
Nassau,asparagus,730,21,No,21,"Variety code: VDF50",
"Soliman                        green pods 16cm x 17mm. Plant",asparagus,730,21,No,21,"Variety code: VOG088",
"A very early maturing variety",asparagus,715,21,No,21,,
Pencil-podded,asparagus,730,21,No,21,,
"Produces straight",asparagus,730,21,No,21,,
Montano,asparagus,730,21,No,21,,
"Nautica                                                                                                      Unusual-podded",asparagus,730,21,No,21,"Variety code: VDF35",
"A vigorous",asparagus,730,21,No,21,,
"Medium to dark green colour",asparagus,730,21,No,21,,
Dior,asparagus,730,21,No,21,"Variety code: VDF91",
Faraday,asparagus,730,21,No,21,,
Maxi,asparagus,730,21,No,21,,
"Tendergreen                     upright habit. Beans are carried",asparagus,730,21,No,21,"Variety code: VDF20",
