Name,"Crop Type","Days to Maturity","Days to Transplant","Direct Sow","Succession Interval",Description
"Just some of our new vegetable",unknown,60,21,No,21,
"Look out for this symbol",unknown,60,21,No,21,
"November 2024",unknown,60,21,No,21,*
"Paying on Account",unknown,60,21,No,21,
"Ordering Online with a Bank Card",unknown,60,21,No,21,
"Benefits of Moles Seeds online",unknown,60,21,No,21,:
Asparagus,unknown,60,21,No,21,
"Combines a high return with",unknown,60,21,No,21,
"Transplant in April or early",unknown,45,21,No,21,
"Produces uniform",unknown,60,21,No,21,", round shaped            Gijnlim"
"March to mid June",unknown,60,21,No,21,"). Produces top"
"Poly Suitable for production under polythene",unknown,60,21,No,21,
Portlim,unknown,60,21,No,21,
"See seed product for description.",unknown,60,21,No,21,
"November to December",unknown,60,21,No,21,", or late            Jewel Amethyst"
"Vigorous growth with a high level",unknown,60,21,No,21,"(not shown)        YP Poly Glas"
"VPL09 F1 Guelph Equinox",unknown,60,21,No,21,
"An early and mid-season",unknown,45,21,No,21,", all male,                                           VAU78 Marble"
"A white base with purple stripes.",unknown,60,21,No,21,
"VAS10 Connover",unknown,60,21,No,21,"’s Colossal               protection then performs as"
"VAU20 Black Beauty",unknown,60,21,No,21,
"A hybrid purple variety that          variety",unknown,60,21,No,21,", deep purple fruits and"
"Green Knight",unknown,60,21,No,21,
Bean,unknown,60,21,No,21,"(Broad)                                                               The Sutton"
Bveg,unknown,60,21,No,21,
"VAU40 F1 Green Knight",unknown,60,21,No,21,"(1300 for small bean varieties"
"VBB60 The Sutton              YP",unknown,60,21,No,21,
"February to March unless",unknown,60,21,No,21,
Aquadulce,unknown,60,21,No,21,
"Probably the quickest maturing spring",unknown,45,21,No,21,
"Can also be used for overwintered",unknown,80,21,No,21,
"VAU42 F1 White Knight",unknown,60,21,No,21,
"Attractive shimmery white fruits",unknown,60,21,No,21,
"YP Poly Glas         The delicious flavour makes",unknown,60,21,No,21,
"A compact variety that produces",unknown,60,21,No,21,
"VBB10 Aquadulce                 YP",unknown,60,21,No,21,
"Broad Beans",unknown,60,21,No,21,
"Autumn             Main             Late",unknown,80,21,No,21,
