Name,"Variety Code","Crop Type","Days to Maturity","Days to Transplant","Direct Sow","Succession Interval",Description
"Cardoon                        spear production.",VOG006,asparagus,730,21,No,21,"Variety code: VOG006"
Portlim,,asparagus,730,21,No,21,
veg,,asparagus,730,21,No,21,
"F1 Gijnlim                       October to November, or mid",VPL05,asparagus,730,21,No,21,"Variety code: VPL05"
vegetables,,asparagus,730,21,No,21,
"F1 Mondeo                                                              plants start bearing fruit.",VPL07,asparagus,730,21,No,21,"Variety code: VPL07"
"F1 Guelph Equinox",VPL09,asparagus,730,21,No,21,"Variety code: VPL09"
"Connover’s Colossal               protection then performs as",VAS10,asparagus,730,21,No,21,"Variety code: VAS10"
"Recommended for green spear",,"garden peas",730,21,No,21,
"Black Beauty",VAU20,aubergine,730,21,No,21,"Variety code: VAU20"
"F1 Burgundine                                        YP Poly Glas",VPL16,asparagus,730,21,No,21,"Variety code: VPL16"
"F1 Millennium                         25 cr.     50 cr.    100 cr.         100g       250g       500g          the mightiest, meatiest variety",VAS24,asparagus,730,21,No,21,"Variety code: VAS24"
"Green Knight",,asparagus,730,21,No,21,
Bveg,,asparagus,730,21,No,21,
"returns plus has beneficial",,asparagus,730,21,No,21,
"popular for loose seed sales in",,asparagus,730,21,No,21,
"F1 Green Knight                                               (1300 for small bean varieties",VAU40,aubergine,730,21,No,21,"Variety code: VAU40"
"The Sutton              YP",VBB60,"broad beans",730,21,No,21,"Variety code: VBB60"
"F1 Pinstripe                      jade green fruits, which are                                                                                                            Dwarf variety, growing to 45cm in",VAU50,aubergine,730,21,No,21,"Variety code: VAU50"
"February to March unless",,asparagus,730,21,No,21,
Aquadulce,,asparagus,730,21,No,21,
"Probably the quickest maturing spring",,asparagus,715,21,No,21,
"Can also be used for overwintered",,asparagus,750,21,No,21,
"F1 White Knight",VAU42,aubergine,730,21,No,21,"Variety code: VAU42"
"Attractive shimmery white fruits",,asparagus,730,21,No,21,
"F1 Ivory                          that are typically 17cm in length.",VAU55,aubergine,730,21,No,21,"Variety code: VAU55"
"YP Poly Glas         The delicious flavour makes",,asparagus,730,21,No,21,
"A compact variety that produces",,asparagus,730,21,No,21,
"Aquadulce                 YP",VBB10,"broad beans",730,21,No,21,"Variety code: VBB10"
"organic seed",,asparagus,730,21,No,21,
"Broad Beans",,"french beans",730,21,No,21,
"Autumn             Main             Late",,asparagus,750,21,No,21,
"F1 Farmers Long                    Variety                                                                         sowing            sowing           sowing           Bean colour           Beans per pod            Plant height",VAU30,aubergine,750,21,No,21,"Variety code: VAU30"
"Masterpiece Green                 required. 2000 seeds per kilo.                                                 21/2kg       5kg      10kg",VBB40,"broad beans",730,21,No,21,"Variety code: VBB40"
