Name,Variety_Code,Crop_Type,Days_to_Maturity,Days_to_Transplant,Direct_Sow,Succession_Interval,Description
"Green Globe",VAR40,Asparagus,60,21,No,21,"Green Globe              YP      early May. Plant out crowns at 30"
Tavor,VOG004,Asparagus,60,21,No,21,"Tavor (not shown)              Seed"
Produces,,Asparagus,60,21,No,21,"Produces uniform, round shaped            Gijnlim"
"F1 Gijnlim",VAS05,Asparagus,60,21,No,21,"F1 Gijnlim"
Cardoon,VAR50,Asparagus,60,21,No,21,Cardoon
"F1 Pacific Purple",VAS09,Asparagus,60,21,No,21,"F1 Pacific Purple"
Violet,VAR30,Asparagus,60,21,No,21,"Violet de Provence                  £3.50      £6.50     £12.00        produces super-sweet dark purple"
Cardoon,VOG006,Asparagus,60,21,No,21,"Cardoon                        spear production."
"F1 Gijnlim",VPL05,Asparagus,60,21,No,21,"F1 Gijnlim                       October to November, or mid"
"F1 Portlim",VAS22,Asparagus,60,21,No,21,"F1 Portlim                              £211.80 £389.65                  maincrop allow 38cm. Sowing"
Gijnlim,,Asparagus,60,21,No,21,"Gijnlim but deliver similar high                                               download from our website."
"F1 Bonica",VAU05,Asparagus,60,21,No,21,"F1 Bonica                        A range of varieties producing"
"F1 Mondeo",VPL07,Asparagus,60,21,No,21,"F1 Mondeo                                                              plants start bearing fruit."
Jade,VAU70,Asparagus,60,21,No,21,"Jade NEW"
"F1 Moneymaker",VAU10,Asparagus,60,21,No,21,"F1 Moneymaker                    VAU72 Ivory NEW"
Jet,VAU74,Asparagus,60,21,No,21,"Jet NEW"
Amethyst,VAU76,Asparagus,60,21,No,21,"Amethyst NEW"
"F1 Guelph Equinox",VPL09,Asparagus,60,21,No,21,"F1 Guelph Equinox"
Marble,VAU78,Asparagus,60,21,No,21,Marble
"Connover’s Colossal",VAS10,Asparagus,60,21,No,21,"Connover’s Colossal               protection then performs as"
"Black Beauty",VAU20,Asparagus,60,21,No,21,"Black Beauty"
"F1 Burgundine",VPL16,Asparagus,60,21,No,21,"F1 Burgundine                                        YP Poly Glas"
"F1 Meatball",VAU22,Asparagus,60,21,No,21,"F1 Meatball"
"F1 Millennium",VAS24,Asparagus,60,21,No,21,"F1 Millennium                         25 cr.     50 cr.    100 cr.         100g       250g       500g          the mightiest, meatiest variety"
"Black Beauty",VOG010,Asparagus,60,21,No,21,"Black Beauty                    and texture of meat. Suitable for"
"F1 Millennium",VPL25,Asparagus,60,21,No,21,"F1 Millennium                                       YP Poly Glas       use in containers, outdoors and"
"Green Knight",,Aubergine,60,21,No,21,"Green Knight"
"F1 Green Knight",VAU40,Aubergine,60,21,No,21,"F1 Green Knight                                               (1300 for small bean varieties"
"The Sutton",VBB60,Aubergine,60,21,No,21,"The Sutton              YP"
"F1 Pinstripe",VAU50,Aubergine,60,21,No,21,"F1 Pinstripe                      jade green fruits, which are                                                                                                            Dwarf variety, growing to 45cm in"
Monica,VBB45,Aubergine,60,21,No,21,"Monica (not shown)"
"F1 White Knight",VAU42,Aubergine,60,21,No,21,"F1 White Knight"
"F1 Ivory",VAU55,Aubergine,60,21,No,21,"F1 Ivory                          that are typically 17cm in length."
Aquadulce,VBB10,Aubergine,60,21,No,21,"Aquadulce                 YP"
"F1 Violet Knight",VAU44,Aubergine,60,21,No,21,"F1 Violet Knight                                               500g       1kg        21/2kg"
"Witkiem Manita",VBB50,Aubergine,60,21,No,21,"Witkiem Manita"
Aquadulce,VOG020,Aubergine,60,21,No,21,"Aquadulce                               YP                   suited to freezing."
"F1 Farmers Long",VAU30,"Broad Beans",60,21,No,21,"F1 Farmers Long                    Variety                                                                         sowing            sowing           sowing           Bean colour           Beans per pod            Plant height"
"Bunyard’s Exhibition",VBB20,"Broad Beans",60,21,No,21,"Bunyard’s Exhibition"
"Blue Lake Stringless",VCF20,"Broad Beans",60,21,No,21,"Blue Lake Stringless"
"Masterpiece Green",VBB40,"Broad Beans",60,21,No,21,"Masterpiece Green                 required. 2000 seeds per kilo.                                                 21/2kg       5kg      10kg"
Hunter,VCF45,"Broad Beans",60,21,No,21,"Hunter                              £35.30 £65.25 £120.00"
Fasold,VCF55,"Broad Beans",60,21,No,21,"Fasold (not shown)"
"Red Epicure",VBB14,"Broad Beans",60,21,No,21,"Red Epicure                                                                                                    for plant sales. Tolerant of BCMV"
Eva,VOG040,"Broad Beans",60,21,No,21,"Eva (not shown)                     £6.65    £10.65      £16.70"
Algarve,VCF15,"Broad Beans",60,21,No,21,Algarve
Goldfield,VCF50,"Broad Beans",60,21,No,21,Goldfield
Cobra,VCF70,"Broad Beans",60,21,No,21,Cobra
"Borlotto Lingua",VCF80,"Broad Beans",60,21,No,21,"Borlotto Lingua di                7-9mm, the variety is black-seeded"
Duet,VBB62,"Broad Beans",60,21,No,21,"Duet                             VOG075 Limka                                    Fuoco (not shown)             Resistant to BCMV race 1."
Cobra,VOG045,"Broad Beans",60,21,No,21,Cobra
Sunshine,VCF75,"Broad Beans",60,21,No,21,Sunshine
Scorpio,VBB70,"Broad Beans",60,21,No,21,"Scorpio                                                                                                        good yield of attractive pale"
Nassau,VDF50,"Broad Beans",60,21,No,21,Nassau
Martini,VDF45,"Broad Beans",60,21,No,21,"Martini                        organic seed                          A flat podded variety with medium"
Soliman,VOG088,"Broad Beans",60,21,No,21,"Soliman                        green pods 16cm x 17mm. Plant"
"The Prince",VDF30,"Broad Beans",60,21,No,21,"The Prince"
Nautica,VDF35,"Broad Beans",60,21,No,21,"Nautica                                                                                                      Unusual-podded"
Stanley,VDF60,"Broad Beans",60,21,No,21,Stanley
Montano,VDF25,"Broad Beans",60,21,No,21,Montano
Dior,VDF91,"Broad Beans",60,21,No,21,Dior
Tendergreen,VDF20,"Broad Beans",60,21,No,21,"Tendergreen                     upright habit. Beans are carried"
Faraday,VDF72,"Broad Beans",60,21,No,21,"Faraday                           VOG080 Maxi                             Voltage                            VDF96 Voltage"
